num,tema,versiculo,asignado,idasignado
23,Jehová ha empezado su gobierno,(Revelación 11:15),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
24,Subamos a la montaña de Jehová,(Isaías 2:2-4),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
25,Una posesión especial,(1 Pedro 2:9),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
26,"“Si lo haces porél, lo haces por mí”",(Mateo 25:34-40),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
27,La revelación de los hijos de Dios,(Romanos 8:19),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
28,Cómo hacernos amigos de Jehová,(Salmo 15),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
29,Hagamos honor a nuestro nombre,(Isaías 43:10-12),Arturo,84a1b478-a4f9-4ed3-a048-f48027f5aef3
30,"Mi Amigo, mi Padre, mi Dios",(Hebreos 6:10),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
31,Camina siempre con Jehová,(Miqueas 6:8),Arturo,84a1b478-a4f9-4ed3-a048-f48027f5aef3
32,¡Ponte de parte de Dios!,(Éxodo 32:26),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
33,Echa sobre Dios tu carga,(Salmo 55),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
34,Caminaré en integridad,(Salmo 26),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
35,Asegurémonos de lo más importante,(Filipenses 1:10),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
36,Cuidemos nuestro corazón,(Proverbios 4:23),Fran David,beb26774-e8dd-40d3-990f-813d9d6e9d79
37,Serviré a Jehová con el corazón,(Mateo 22:37),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
38,Jehová te cuidará,(1 Pedro 5:10),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
39,Un buen nombre ante Dios,(Eclesiastés 7:1),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
40,¿A quién servimos?,(Romanos 14:8),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
41,"Padre, escucha mi oración",(Salmo 54),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
42,La oración del siervo de Dios,(Efesios 6:18),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
43,Una oración para dar gracias a Dios,(Salmo 95:2),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
44,Una súplica ferviente,(Salmo 4:1),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
45,“La meditación de mi corazón”,(Salmo 19:14),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
46,"Gracias, Jehová",(1 Tesalonicenses 5:18),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
47,Oremos a Dios todos los días,(1 Tesalonicenses 5:17),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
48,Caminemos diariamente con Jehová,(Miqueas 6:8),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
49,Alegremos el corazón de Jehová,(Proverbios 27:11),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
50,Mi oración de dedicación,(Mateo 22:37),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
51,Estamos dedicados a Dios,(Mateo 16:24),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
52,La dedicación cristiana,"(Hebreos 10:7, 9)",Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
53,Hoy voy a salir a predicar,(Jeremías 1:17),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
54,“Este es el camino”,"(Isaías 30:20, 21)",Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
55,¡No los temas!,(Mateo 10:28),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
56,Vive la verdad,"(Proverbios 3:1, 2)",Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
57,Predicamos a toda clase de personas,(1 Timoteo 2:4),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
58,Voy a buscar a los amigos de la paz,(Lucas 10:6),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
59,Ven a alabar a Jehová,(Salmo 146:2),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
60,Hay vidas en juego,(Ezequiel 3:17-19),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
61,"¡Avancen,Testigos!",(Lucas 16:16),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
62,La nueva canción,(Salmo 98),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
63,¡Soy testigo de Jehová!,(Isaías 43:10-12),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
64,Participemos con gozo en la cosecha,(Mateo 13:1-23),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
65,Lucha por progresar,(Hebreos 6:1),Arturo,84a1b478-a4f9-4ed3-a048-f48027f5aef3
66,Proclamemos las buenas noticias,"(Revelación 14:6, 7)",Fran David,beb26774-e8dd-40d3-990f-813d9d6e9d79
67,“Predica la palabra”,(2 Timoteo 4:2),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
68,Sembremos semillas del Reino,(Mateo 13:4-8),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
69,Prediquen las nuevas del Reino,(2 Timoteo 4:5),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
70,Busquemos a los merecedores,(Mateo 10:11-15),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
71,¡Somos los guerreros de Jehová!,(Joel 2:7),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
72,Anunciaré la verdad del Reino,"(Hechos 20:20, 21)",Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
73,Danos fuerzas y valor,(Hechos 4:29),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
74,Ven a cantar la gran canción del Reino,(Salmo 98:1),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
75,"“¡Aquí estoy, envíame!”",(Isaías 6:8),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
76,Cuéntame lo que sientes,(Hebreos 13:15),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
77,Luz en un mundo oscuro,(2 Corintios 4:6),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
78,Enseñemos la Palabra de Dios,(Hechos 18:11),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
79,Que sigan firmes en la fe,"(Mateo 28:19, 20)",Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
80,Prueben y vean que Jehová es bueno,(Salmo 34:8),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
81,La vida del precursor,(Eclesiastés 11:6),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
82,Hagamos que brille nuestra luz,(Mateo 5:16),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
83,“De casa en casa”,(Hechos 20:20),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
84,Servimos donde se nos necesite,"(Mateo 9:37, 38)",Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
85,“Recíbanse con gusto unos a otros”,(Romanos 15:7),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
86,Necesitamos que Jehová nos enseñe,(Isaías 50:4; 54:13),Arturo,84a1b478-a4f9-4ed3-a048-f48027f5aef3
87,Ven a recibiránimo,"(Hebreos 10:24, 25)",Arturo,84a1b478-a4f9-4ed3-a048-f48027f5aef3
88,Hazme conocer tus caminos,(Salmo 25:4),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
89,Jehová bendice al que escucha y obedece,(Lucas 11:28),Arturo,84a1b478-a4f9-4ed3-a048-f48027f5aef3
90,Animémonos unos a otros,"(Hebreos 10:24, 25)",Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
91,Una obra de amor,(Salmo 127:1),Arturo,84a1b478-a4f9-4ed3-a048-f48027f5aef3
92,Un lugar que lleva tu nombre,(1 Crónicas 29:16),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
93,Bendice nuestras reuniones,"(Hebreos 10:24, 25)",Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
94,Agradecidos por la Palabra de Dios,(Filipenses 2:16),Arturo,84a1b478-a4f9-4ed3-a048-f48027f5aef3
95,La luz brilla más cada día ,(Proverbios 4:18),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
96,El libro de Dios es un tesoro,(Proverbios 2:1),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
97,Nuestra vida depende de la Palabra de Dios,(Mateo 4:4),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
98,Las Escrituras están inspiradas por Dios,"(2 Timoteo 3:16, 17)",Fran David,beb26774-e8dd-40d3-990f-813d9d6e9d79
99,Miles de fieles hermanos,"(Revelación 7:9, 10)",Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
100,Seamos hospitalarios,(Hechos 17:7),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
101,Sirvamos a Dios en unidad,(Efesios 4:3),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
102,Ayudemos a los débiles,(Hechos 20:35),Fran David,beb26774-e8dd-40d3-990f-813d9d6e9d79
103,Nuestros pastores son un regalo de Dios,(Efesios 4:8),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
104,El espíritu santo es un regalo de Dios,(Lucas 11:13),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
105,“Dios es amor”,"(1 Juan 4:7, 8)",Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
106,Cultivemos amor verdadero,(1 Corintios 13:1-8),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
107,Dios nos enseñó a amar,(1 Juan 4:19),Arturo,84a1b478-a4f9-4ed3-a048-f48027f5aef3
108,El amor leal de Jehová,(Isaías 55:1-3),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
109,Amémonos de todo corazón,(1 Pedro 1:22),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
110,“El gozo de Jehová”,(Nehemías 8:10),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
111,Los motivos de nuestro gozo,(Mateo 5:12),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
112,"Jehová, el Dios de la paz",(Filipenses 4:9),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
113,La paz del pueblo de Dios,(Juan 14:27),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
114,Demostremos paciencia,(Santiago 5:8),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
115,Gratitud por la paciencia de Dios,(2 Pedro 3:15),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
116,Seamos amables y bondadosos,(Efesios 4:32),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
117,Imitemos la bondad de Jehová,(2 Crónicas 6:41),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
118,“Danos más fe”,(Lucas 17:5),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
119,Necesitamos una fe fuerte,"(Hebreos 10:38, 39)",Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
120,Seamos apacibles y humildes como Cristo,(Mateo 11:28-30),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
121,Necesitamos autodominio,(Romanos 7:14-25),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
122,"¡Mantengámonos firmes, inmovibles!",(1 Corintios 15:58),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
123,Seamos leales y sumisos al orden teocrático,(1 Corintios 14:33),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
124,Siempre fieles y leales,(Salmo 18:25),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
125,“Felices son los misericordiosos”,(Mateo 5:7),Arturo,84a1b478-a4f9-4ed3-a048-f48027f5aef3
126,"Siempre fuertes, fieles y firmes",(1 Corintios 16:13),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
127,La clase de persona que debo ser,(2 Pedro 3:11),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
128,Aguantemos hasta el fin,(Mateo 24:13),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
129,Servimos con aguante,(Mateo 24:13),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
130,Aprendamos a perdonar,(Salmo 86:5),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
131,“Lo que Dios ha unido”,"(Mateo 19:5, 6)",Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
132,Ahora ya somos uno,"(Génesis 2:23, 24)",Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
133,Sirvamos a Jehová en nuestra juventud,(Eclesiastés 12:1),Arturo,84a1b478-a4f9-4ed3-a048-f48027f5aef3
134,Los hijos son un regalo de Dios,(Salmo 127:3-5),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
135,"Jehová te pide: “Sé sabio, hijo mío”",(Proverbios 27:11),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
136,Que Jehová te bendiga,(Rut 2:12),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
137,"Fieles,valiosas, amadas",(Romanos 16:2),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
138,"Los cabellos blancos, una hermosa corona",(Proverbios 16:31),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
139,¿Te ves en el nuevo mundo?,(Revelación 21:1-5),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
140,"¡Vida sin fin, al fin!",(Juan 3:16),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
141,El maravilloso regalo de la vida,(Salmo 36:9),Fran David,beb26774-e8dd-40d3-990f-813d9d6e9d79
142,Aferrémonos a nuestra esperanza,"(Hebreos 6:18, 19)",Fran David,beb26774-e8dd-40d3-990f-813d9d6e9d79
143,¡Hay que seguir vigilantes!,(Romanos 8:20-25),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
144,No dejes de mirar allí,(2 Corintios 4:18),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
145,Dios prometió un Paraíso,(Lucas 23:43),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
146,“Estoy haciendo todo nuevo”,(Revelación 21:1-5),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
147,Dios nos promete la vida eterna,(Salmo 37:29),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
148,Jehová es mi Roca de salvación,(2 Samuel 22:1-8),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
149,La canción de la victoria,(Éxodo 15:1),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
150,¡Jehová será tu Salvador!,(Sofonías 2:3),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
151,Jehová los llamará,(Job 14:13-15),Arturo,84a1b478-a4f9-4ed3-a048-f48027f5aef3
